movie_url,movie_poster_url,movie_name[zh],movie_name[en],movie_rate,movie_rate_count,movie_description,movie_info,movie_director,movie_date,movie_language,movie_type
https://movie.douban.com/subject/1293544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,沉默的羔羊,  The Silence of the Lambs,8.8,643907,安东尼·霍普金斯的顶级表演,"导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...<br/>
                            1991 / 美国 / 剧情 犯罪 惊悚",乔纳森·戴米 Jonathan Demme   ,1991, 美国 , 剧情 犯罪 惊悚
https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,七宗罪,  Se7en,8.8,741471,警察抓小偷，老鼠玩死猫,"导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...<br/>
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚",大卫·芬奇 David Fincher   ,1995, 美国 , 剧情 犯罪 悬疑 惊悚
https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,禁闭岛,  Shutter Island,8.8,716146,昔日翩翩少年，今日大腹便便,"导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...<br/>
                            2010 / 美国 / 剧情 悬疑 惊悚",Martin Scorsese   ,2010, 美国 , 剧情 悬疑 惊悚
https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,蝴蝶效应,  The Butterfly Effect,8.8,709330,人的命运被自己瞬间的抉择改变,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...<br/>
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚","埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...<br/>
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚",2004,,
https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,心灵捕手,  Good Will Hunting,8.9,533037,人生中应该拥有这样的一段豁然开朗,"导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...<br/>
                            1997 / 美国 / 剧情",格斯·范·桑特 Gus Van Sant   ,1997, 美国 , 剧情
https://movie.douban.com/subject/11525673/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,布达佩斯大饭店,  The Grand Budapest Hotel,8.8,673072,小清新的故事里注入了大历史的情怀,"导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...<br/>
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险",韦斯·安德森 Wes Anderson   ,2014, 美国 德国 英国 , 剧情 喜剧 冒险
https://movie.douban.com/subject/1292679/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,春光乍泄,  春光乍洩,8.9,476006,爱情纠缠，男女一致,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...<br/>
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性",王家卫 Kar Wai Wong   ,1997, 中国香港 日本 韩国 , 剧情 爱情 同性
https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,被嫌弃的松子的一生,  嫌われ松子の一生,8.9,565135,以戏谑来戏谑戏谑,"导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...<br/>
                            2006 / 日本 / 剧情 歌舞",中岛哲也 Tetsuya Nakashima   ,2006, 日本 , 剧情 歌舞
https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,摩登时代,  Modern Times,9.3,215236,大时代中的人生，小人物的悲喜,"导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...<br/>
                            1936 / 美国 / 剧情 喜剧 爱情",查理·卓别林 Charles Chaplin   ,1936, 美国 , 剧情 喜剧 爱情
https://movie.douban.com/subject/1652587/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,阿凡达,  Avatar,8.7,1003782,绝对意义上的美轮美奂,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...<br/>
                            2009 / 美国 英国 / 动作 科幻 冒险",詹姆斯·卡梅隆 James Cameron   ,2009, 美国 英国 , 动作 科幻 冒险
https://movie.douban.com/subject/3011235/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,哈利·波特与死亡圣器(下),  Harry Potter and the Deathly Hallows: Part 2,8.9,581426,10年的完美句点,"导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...<br/>
                            2011 / 美国 英国 / 奇幻 冒险",大卫·叶茨 David Yates   ,2011, 美国 英国 , 奇幻 冒险
https://movie.douban.com/subject/1292370/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,剪刀手爱德华,  Edward Scissorhands,8.7,845869,浪漫忧郁的成人童话,"导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...<br/>
                            1990 / 美国 / 剧情 奇幻 爱情",蒂姆·波顿 Tim Burton   ,1990, 美国 , 剧情 奇幻 爱情
